elapsed_ms,cue,power_w,cadence_rpm,speed_kph,trajectory_y,velocity_y,target_velocity_y,calibrated_cruise_w,calibrated_hard_w
722,Cruise,0,0,0,115.555,52.307,55.000,108,227
1698,Cruise,75,35,8.77,165.780,54.943,55.000,108,227
2672,Cruise,161,46,15.43,202.306,18.809,14.553,108,227
3646,Cruise,169,55,18.27,203.932,-11.843,-16.539,108,227
4818,Cruise,116,50,16.98,179.368,-23.782,-24.255,108,227
5588,Cruise,114,48,16.13,168.926,-5.170,-0.521,108,227
6573,Cruise,117,47,15.83,167.720,-0.073,0.000,108,227
7547,Cruise,132,50,16.47,167.704,-0.002,0.000,108,227
8718,Cruise,124,49,16.42,165.367,-4.294,-4.774,108,227
9683,Cruise,117,48,15.92,162.540,-1.635,-1.213,108,227
10666,Push,120,47,15.92,162.047,-0.035,0.000,108,227
11640,Push,167,56,18.55,162.040,-0.001,0.000,108,227
12618,Push,220,68,22.31,152.665,-19.042,-21.636,108,227
13787,Push,191,69,22.98,109.144,-48.268,-50.136,108,227
14567,Push,166,66,22.29,77.141,-40.447,-38.105,108,227
15735,Push,163,64,21.73,39.369,-24.589,-23.594,108,227
16704,Push,154,63,20.98,16.483,-21.760,-21.533,108,227
17688,Push,179,66,21.740000000000002,-1.107,-17.620,-17.059,108,227
18661,Cruise,213,71,23.64,-23.781,-27.487,-28.833,108,227
19637,Cruise,148,66,21.84,-60.729,-44.513,-46.372,108,227
20602,Cruise,90,52,17.82,-89.703,-20.092,-16.291,108,227
21588,Cruise,103,47,15.94,-97.096,-0.588,0.140,108,227
22748,Cruise,109,45,15.32,-97.204,-0.003,0.000,108,227
23731,Cruise,116,47,15.27,-97.205,-0.000,0.000,108,227
24697,Cruise,114,46,15.23,-97.205,-0.000,0.000,108,227
25681,Cruise,116,46,15.25,-97.205,-0.000,0.000,108,227
26655,Cruise,122,47,15.700000000000001,-97.205,-0.000,0.000,108,227
27635,Cruise,107,44,14.94,-97.205,-0.000,0.000,108,227
28607,Easy,102,42,14.34,-97.205,-0.000,0.000,108,227
29581,Easy,73,36,12,-97.205,-0.000,0.000,108,227
30555,Easy,63,31,10.27,-93.079,9.708,11.444,108,227
31728,Easy,88,33,11.17,-75.156,17.834,18.270,108,227
32702,Easy,71,30,10.31,-64.070,6.848,5.239,108,227
33666,Easy,74,30,10.19,-54.915,12.339,13.249,108,227
34652,Easy,64,27,9.370000000000001,-42.162,12.345,12.251,108,227
35812,Easy,57,25,8.51,-25.252,17.305,17.703,108,227
36602,Cruise,60,25,8.44,-11.103,20.640,21.402,108,227
37966,Cruise,72,28,9.38,17.961,20.362,20.311,108,227
38552,Cruise,128,40,13.42,29.577,16.316,14.777,108,227
39722,Cruise,112,42,14.13,34.735,-0.408,-1.516,108,227
40698,Cruise,107,43,14.21,34.434,-0.022,0.000,108,227
41672,Cruise,96,41,13.55,34.429,-0.000,0.000,108,227
42648,Cruise,102,41,13.66,34.429,-0.000,0.000,108,227
43622,Cruise,107,41,13.91,34.429,-0.000,0.000,108,227
44597,Cruise,97,40,13.43,34.429,-0.000,0.000,108,227
45962,Cruise,108,41,13.96,34.429,-0.000,0.000,108,227
46538,Push,94,39,13.23,34.429,-0.000,0.000,108,227
47717,Push,94,39,13.02,34.442,0.129,0.301,108,227
48683,Push,211,60,19.53,34.858,0.556,0.584,108,227
49666,Push,231,70,23.28,20.553,-34.958,-41.560,108,227
50631,Push,179,69,23.05,-27.382,-53.990,-55.000,108,227
51615,Push,172,67,22.63,-68.923,-34.764,-31.882,108,227
52590,Push,185,68,22.96,-99.340,-27.112,-26.506,108,227
53569,Push,187,70,23.22,-128.884,-31.876,-32.500,108,227
55128,Coast,181,69,23.09,-179.737,-33.930,-33.969,108,227
55713,Coast,172,68,22.56,-200.424,-32.142,-31.469,108,227
56688,Coast,0,0,15.66,-227.492,-27.122,-26.526,108,227
57663,Coast,0,0,7.78,-222.405,38.112,47.761,108,227
58639,Coast,0,0,2.45,-173.346,53.745,54.551,108,227
59612,Coast,0,0,0,-123.535,54.896,54.964,108,227
